cod_imovel;date;corrected_date;mean_ndvi
PR-4119905-9B51E4D0E16D4A2E9B98765AA61CB8AA;20220122;04/05/2023;0.124266887321454
PR-4119905-46DEBB75ADDA4F6CADA80553F294E962;20230504;08/03/2023;0.134031839708322
PR-4119905-8BC58B7BAF994C9CA22CBB6CA25CB694;20230308;08/03/2023;0.266822279903853
RS-4318002-A1BB90B61FEC45CAB65BF8F1278C7CD7;20230717;22/01/2022;0.921419359820724
PR-4119905-BA2F9F6E0AD5494A9FC45936F44C9BD9;20220122;08/03/2023;0.1006994472058310
PR-4119905-11E84C487309465D803186831DD82D93;20220122;04/05/2023;0.1024698005083700
PR-4119905-7F352F5711554B8A8CFB78EC9A49CB26;20220122;04/05/2023;0.1026296830665130
PR-4119905-84E1C90868084936A181D1AB4312083D;20230504;04/05/2023;0.1029648078241620
PR-4119905-9B2343B34EC3428B8F3BC0D538EBF73C;20230504;04/05/2023;0.1032430106666220
PR-4119905-751A444A8BC24D6EAC0AEB6DBBD5CFA4;20220122;26/06/2023;0.1052339734032900
PR-4119905-7F17E6756F644F1F86A90658B7C9CAF9;20220122;04/05/2023;0.1062477807751510
PR-4119905-4259A54CB2054D92AE5EAAF96C52BBB8;20220122;04/05/2023;0.1074103699827270
RS-4318002-08B8C3DE63EE481AA7E5DEE3706ABB32;20230624;22/01/2022;0.1089390513939050
PR-4119905-4CA7E1041FF44578AF5EA6CDEDF901BC;20220122;04/05/2023;0.1101170448639330
PR-4119905-B62696776F2446A9A09A28871448A4BA;20230504;04/05/2023;0.1102589389117870
PR-4119905-76BDE8AB9E304C4D819454B7A6275964;20220122;04/05/2023;0.1115789083240010
PR-4119905-C4FE7BF6CE534E28B704AF62F274EDA2;20220122;08/03/2023;0.1163250548017240
PR-4119905-7F55B11FE2474AC58F28EB7FC64B8DBF;20220122;08/03/2023;0.1170304195565180
PR-4119905-31CBFEE21E8141F59D7CA66EF53C47B8;20230504;04/05/2023;0.1187611544699970
PR-4119905-3DD39727AD6A4DEEA6F3057CC5A36A98;20230504;04/05/2023;0.1204563121984560
PR-4119905-292AA711807B4BF2ACF8943665A51A09;20230504;08/03/2023;0.1210394898545590
RS-4318002-DEF8351102F94EA781B172C252440AF3;20230717;22/01/2022;0.1213348009469800
PR-4119905-F920074969D5454D8E6C587DF9BDD057;20230504;04/05/2023;0.1237555410854430
PR-4119905-4C65E896FD9C415596A4A96F1CF8C189;20220122;04/07/2023;0.1238909236978980
